id,act_arq,lang_cobol,db_elastic,db_firestore,ben_loan,cert_gweb,cert_itilint,ben_flexhours,lang_python,remote,db_firebasert,cert_pmp,experience,ben_gym,dsc_rapidminer,act_bi,act_dba,ben_housing,cert_testing1,act_infosec,lang_csharp,ben_gas,ben_car,profile,front_xamarin,db_sap,cert_itilpra,act_dir,act_req,cert_sixsigma,db_neo4j,ben_edu,infra_chef,gender,infra_vmware,db_cassandra,db_cosmos,dsc_sas,lang_perl,act_test,ben_lifeins,cert_sap,cert_linux,db_mysql,ben_bonus,ben_healthminor,age,cert_java,lang_delphi,db_oracle,lang_clang,seniority,db_dynamo,lang_php,dsc_h2o,lang_scala,infra_ansible,dsc_alteryx,cert_android,lang_rust,act_prog,infra_oshift,act_soporte,cert_awsdev,cert_infosec,cert_entarch,dsc_watson,ben_homeoffice,lang_vbnet,ben_healthmajor,ben_family,act_spi,edutype,dsc_knime,act_doc,dsc_tf,ben_cafeteria,infra_docker,act_techsales,cert_oracle,act_pm,cert_testing2,infra_ostack,cert_ba,db_pgsql,infra_puppet,act_cons,infra_terraform,english_num,ben_vouchers,cert_gcloudarch,lang_elixir,act_cap,cert_awsarch,act_erp,lang_go,orgtype,cert_cisco,cert_scrum,db_DB2,cert_cgeit,lang_bash,dsc_azureml,dsc_domino,emptype,lang_plsql,lang_groovy,act_front,lang_java,lang_ruby,act_uxd,cert_agile,cert_cobit,lang_swift,act_techwrite,lang_js,dsc_dataiku,cert_gdata,front_angular,lang_kotlin,db_sqlserver,act_ventas,ben_parking,education,front_react,ben_equity,db_redis,cert_msexp,ben_cellphone,infra_k8s,cert_msass,front_vue,db_mongoDB,salarymx_range
4327,,,,,,,,Y,,N,,,11,,,,,,,,,,,godin,,,,Y,,,,,,hombre,,,,,,,Y,,,,,Y,34,,,,,1,,,,,,,,,,,,,,,,Y,,Y,,,escuela,,,,,,Y,,,,,,,,,,4,,,,,,,,itservices,,,,,,,,nomina,,,,,,,,,,,,,,,,,Y,,maestria,,,,,Y,,,,,"(130000, 140000]"
4328,,,,,,,,Y,,Y,,Y,8,,,,,,,,,,,godin,,,,,,,,,,hombre,,,,,,,,,,,,,30,,,,,2,,,,,,,,,,,,,,,,Y,,,,Y,escuela,,,,,,,,Y,,,,,,,,4,,,,,,,,startup,,Y,,,,,,honorarios,,,,,,,,,,,,,,,,,,,maestria,,,,,,,,,,"(60000, 70000]"
4329,,,,,Y,,,Y,,N,,,3,,,,,,,,,,,godin,,,,,,,,,,mujer,,,,,,,,,,,,,27,,,,,4,,Y,,,,,,,Y,,,,,,,,,,,,escuela,,,,,,,,,,,,,,,,3,Y,,,,,,Y,itservices,,,,,,,,nomina,,,Y,,,,,,,,Y,,,,,,,,universidad,,,,,,,,Y,,"(10000, 20000]"
4330,,,Y,,,,,Y,Y,N,,,13,,,,Y,,,,,,,godin,,,,,,,,,,hombre,,,,,,,,,,Y,,,33,,,,,0,,Y,,,,,,,Y,,,,,,,Y,,,,,escuela,,,,,,,,,,,,Y,,,,2,,,,,,,,startup,,,,,Y,,,nomina,,,,,,,,,,,,,,,,,,,pasante,,,,,,,,,,"(40000, 50000]"
4331,,Y,,,Y,,,,,N,,,5,,,,,,,,,,,godin,,,,,,,,,,mujer,,,,,,,Y,,,,Y,,32,,,,Y,0,,,,,,,,,Y,,,,,,,Y,,Y,,,trabajo,,,,,,,,,,,,,,,,2,,,,,,,,corp,,,,,,,,nomina,,,,,,,,,,,,,,,,,,,universidad,,,,,,,,,,"(30000, 40000]"
4332,,Y,,,,,,,,N,,,14,,,,,,,,,,,godin,,,,,Y,,,,,hombre,,,,,,,Y,,,,,,36,,,,,6,,,,,,,,,Y,,,,,,,Y,,Y,,,escuela,,,,,,,,,,,,,,,,3,Y,,,,,,,itservices,,,,,Y,,,nomina,,,,,,,,,,,,,,,,,,,pasante,,,,,,,,,,"(50000, 60000]"
4334,,,,,,,,Y,,Y,,,7,,,,,,,,,,,godin,,,,,,,,,,hombre,,,,,,,Y,,,,,Y,27,Y,,,,1,,,,,,,,,Y,,,,,,,Y,,Y,,,escuela,,,,Y,,,,,,,,,,,,3,Y,,,,,,,startup,,,,,Y,,,nomina,,,,Y,,,,,,,Y,,,,,,,,universidad,,,,,,,,,,"(90000, 100000]"
4335,,,,,Y,,,,,Y,,,2,,,,,,,,,,,godin,,,,,,,,,,nb,,,,,,,Y,,,,,Y,26,,,,,1,,,,,,,,,Y,,,,,,,,,Y,,,escuela,,,,,,,,,,,,,,,,4,Y,,,,,,,itservices,,,,,,,,nomina,,,Y,,,,,,,,Y,,,,,,,,pasante,Y,,,,,,,,,"(20000, 30000]"
4336,,,,,,,,,,Y,,,9,,,,,,,,,,,godin,,,,,,,,,,hombre,,,,,,,Y,,,,,Y,30,,,,,0,,,,,,,,,,,,,,,,Y,,Y,,,escuela,,,,,,,,,,,,,,,,3,Y,,,,,,,itservices,,,,,,,,nomina,,,Y,,,,,,,,,,,,,,,,universidad,Y,,,,,,Y,,,"(80000, 90000]"
4337,,,,,,,,,,Y,,,4,,,,Y,,,,,,,godin,,,,,,,,,,hombre,,,,,,,,,,Y,,,38,Y,,Y,,1,,Y,,,,,,,Y,,,,,,,Y,,,,,online,,,,,,,,,,,,,,,,1,,,,,,,,itservices,,,,,,,,hibrido,,,Y,Y,,,,,,,Y,,,,,Y,,,universidad,,,,,,,,,,"(20000, 30000]"
4338,Y,,,,,,,Y,,Y,,,4,,,,,,,,,,,godin,,,,,Y,,,,,hombre,,,,,,,,,,,,Y,26,,,,,3,,,,,,,,,,,,,,,,,,Y,,,autodidacta,,,,,,,,,,,,,,,,5,Y,,,,,,,itservices,,,,,,,,nomina,,,Y,,,,,,,,,,,,,,,,universidad,Y,,,,,,,,,"(110000, 120000]"
