id,act_arq,lang_cobol,db_elastic,db_firestore,ben_loan,cert_gweb,cert_itilint,ben_flexhours,lang_python,remote,db_firebasert,cert_pmp,experience,ben_gym,dsc_rapidminer,act_bi,act_dba,ben_housing,cert_testing1,act_infosec,lang_csharp,ben_gas,ben_car,profile,front_xamarin,db_sap,cert_itilpra,act_dir,act_req,cert_sixsigma,db_neo4j,ben_edu,infra_chef,gender,infra_vmware,db_cassandra,db_cosmos,dsc_sas,lang_perl,act_test,ben_lifeins,cert_sap,cert_linux,db_mysql,ben_bonus,ben_healthminor,age,cert_java,lang_delphi,db_oracle,lang_clang,seniority,db_dynamo,lang_php,dsc_h2o,lang_scala,infra_ansible,dsc_alteryx,cert_android,lang_rust,act_prog,infra_oshift,act_soporte,cert_awsdev,cert_infosec,cert_entarch,dsc_watson,ben_homeoffice,lang_vbnet,ben_healthmajor,ben_family,act_spi,edutype,dsc_knime,act_doc,dsc_tf,ben_cafeteria,infra_docker,act_techsales,cert_oracle,act_pm,cert_testing2,infra_ostack,cert_ba,db_pgsql,infra_puppet,act_cons,infra_terraform,english_num,ben_vouchers,cert_gcloudarch,lang_elixir,act_cap,cert_awsarch,act_erp,lang_go,orgtype,cert_cisco,cert_scrum,db_DB2,cert_cgeit,lang_bash,dsc_azureml,dsc_domino,emptype,lang_plsql,lang_groovy,act_front,lang_java,lang_ruby,act_uxd,cert_agile,cert_cobit,lang_swift,act_techwrite,lang_js,dsc_dataiku,cert_gdata,front_angular,lang_kotlin,db_sqlserver,act_ventas,ben_parking,education,front_react,ben_equity,db_redis,cert_msexp,ben_cellphone,infra_k8s,cert_msass,front_vue,db_mongoDB,salarymx_range
2675,,,,,,,,Y,,Y,,,5,,,,,,,,,,,directivo,,,Y,,,,,,,hombre,,,,,,,,,,,,,30,,,,,1,,,,,,,,,,,,,,,,,,,,Y,escuela,,,,,,,,,,,,,,,,4,,,,,,,,itservices,,,,,,,,nomina,,,,,,,,Y,,Y,,,,,,,,,pasante,,,,,,,,,,"(20000, 30000]"
2676,Y,,,,Y,,,Y,,N,,,12,Y,,,,,,,,,,godin,,,,Y,Y,,,,,hombre,,,,,,,Y,,,,Y,,37,,,,,3,,,,,,,,,,,,,,,,Y,,Y,,Y,escuela,,,,Y,,,,,,,,,,,,4,,,,,,,,corp,,Y,,,,,,nomina,,,,,,,Y,,,,,,,,,,,Y,maestria,,,,,,,,,,
2677,,,,,,,,Y,,N,,,6,,,Y,,,,,,,,godin,,,,,,,,,,hombre,,,,,,,Y,,,,,,30,,,,,2,,,,,,,,,,,,,,,,Y,,Y,,,autodidacta,,,,,,,,,,,,,,,,3,Y,,,,,,,startup,,,,,,,,nomina,,,,,,,,,,,,,,,,,,,universidad,,,,,,,,,,"(30000, 40000]"
2678,,,,,,,,Y,,N,,,2,,,,,,,,,,,godin,,,,,,,,,,nb,,,,,,,Y,,,,,Y,23,,,,,2,,,,,,,,,,,,,,,,Y,,Y,,,escuela,,,,,,,,,,,,,,,,0,,,,,,Y,,itservices,,,,,,,,nomina,,,,,,,,,,,,,,,,,,Y,pasante,,,,,,,,,,"(10000, 20000]"
2679,,,,,,,,Y,,N,,,2,,,,,,,,,,,godin,,,,,,,,,,nb,,,,,,,Y,,,,,Y,23,,,,,2,,,,,,,,,,,,,,,,Y,,Y,,,escuela,,,,,,,,,,,,,,,,0,,,,,,Y,,itservices,,,,,,,,nomina,,,,,,,,,,,,,,,,,,Y,pasante,,,,,,,,,,"(10000, 20000]"
2680,,,,,,,,,,N,,,8,,,,,,,,,Y,,directivo,,,,Y,,,,,,hombre,,,,,,,,,,,,,36,,,,,5,,,,,,,,,,,Y,,,,,,,,,,autodidacta,,,,,,,,,,,,,,,,3,Y,,,,,Y,,corp,,,,,,,,hibrido,,,,,,,,,,,,,,,,,,,maestria,,,,,,,,,,"(40000, 50000]"
2681,,,,,,,,Y,,Y,,,11,,,,,,,,Y,,,godin,,,,,,,,,,hombre,,,,,,,,,,,Y,,31,,,,,3,,,,,,,,,Y,,,,,,,Y,,Y,,,escuela,,,,,,,,,,,,,,,,4,,,,,,,,freelance,,,,,,,,freelance,Y,,Y,,,,,,,,Y,,,,,,,,universidad,,,,,,,,,,"(70000, 80000]"
2682,,,,,Y,,,,,N,,,0,,,,Y,,,Y,,,,godin,,,,,,,,,,mujer,,,,,,,Y,,,Y,,Y,26,,,,,0,,,,,,,,,,,Y,,,,,,,,,,escuela,,,,,,,,,,,,Y,,,,2,Y,,,,,,,corp,Y,,,,,,,nomina,,,,,,,,,,,,,,,,,,,pasante,,,,,,,,,,"(0, 10000]"
2683,Y,,,,,,,Y,,N,,,20,,,,,,,,,,,godin,,,,,,,,,,hombre,,,,,,,Y,,,,,Y,45,Y,,,,1,,,,,,,,,Y,,,,,,,Y,,Y,,,trabajo,,,,,,,,,,,,,,,,3,,,,,Y,,,startup,,,,,,,,nomina,Y,,Y,Y,,,,,,,Y,,,,,,,,universidad,,,,,,,,,,"(50000, 60000]"
2684,,,,,,,,Y,,Y,,,10,,,Y,,,,,,,,godin,,,,,,,,,,hombre,,,,Y,,Y,Y,,,,,Y,33,Y,,,,2,,,,,,,,,,,,,,,,Y,,,,,escuela,,,Y,Y,,,,,,,,,,,,3,Y,,,,,,,corp,,Y,,,,,,nomina,,,,,,,,,,,,,,,,,,,posgrado,,,,,Y,,,,,"(40000, 50000]"
